Код товару,Ринкові ціни,,,,Рік
,На 2.11,На 10.11,На 14.11,На 24.11,
50,36.6,35.7,38.3,38.3,2013
50,40,40,40,40,2014
50,40,45,45,43,2015
60,30.8,30.7,33,35,2013
60,35,35.4,36,36.5,2014
60,36.5,35,35,36,2015
70,50.8,45,49.2,51.6,2013
70,50.5,52,51.6,52.2,2014
70,52.2,55,54.3,55,2015
80,880,933.3,920,983.3,2013
80,990,995,1000,1000,2014
80,1000,1005,1005,1005,2015
90,265,264.2,288.2,305,2013
90,310.2,310.2,312.5,313.4,2014
90,313.4,315.2,316.5,316.5,2015
100,67.5,72.8,68,86.6,2013
100,86.5,86.5,88.2,88.2,2014
100,89.5,90.5,65.6,95.6,2015
